,Unnamed: 0,Sort ,State,FIPS ,County ,CountySeat(s) ,Population(2010),LandAreakm2 ,LandAreami2 ,WaterAreakm2 ,WaterAreami2 ,TotalAreakm2 ,TotalAreami2 ,Latitude ,Longitude,Hover,NEVER MASK,max_risk
10,10,11,AL,01021,Chilton,Clanton,43643,1794.484,692.8539999999999,20.586,7.948,1815.07,700.802,32.85406,-86.726628,"Chilton<br>Every 10,000 People 600.0 Not using Mask<br>Max of 14.0 People can get Infected",600.0,14.0
11,11,12,AL,01023,Choctaw,Butler,13859,2365.955,913.5,19.059,7.359,2385.014,920.8589999999999,31.991008,-88.248887,"Choctaw<br>Every 10,000 People 490.0 Not using Mask<br>Max of 2.0 People can get Infected",490.0,2.0
12,12,13,AL,01025,Clarke,Grove Hill,25833,3207.6090000000004,1238.465,36.543,14.109,3244.152,1252.5739999999998,31.685521,-87.818624,"Clarke<br>Every 10,000 People 490.0 Not using Mask<br>Max of 11.0 People can get Infected",490.0,11.0
13,13,14,AL,01027,Clay,Ashland,13932,1564.2520000000002,603.961,5.285,2.040,1569.537,606.001,33.267809,-85.862051,"Clay<br>Every 10,000 People 1480.0 Not using Mask<br>Max of 21.0 People can get Infected",1480.0,21.0
14,14,15,AL,01029,Cleburne,Heflin,14972,1450.6529999999998,560.1,2.366,0.913,1453.0179999999998,561.013,33.671981,-85.516109,"Cleburne<br>Every 10,000 People 1510.0 Not using Mask<br>Max of 19.0 People can get Infected",1510.0,19.0
15,15,16,AL,01031,Coffee,"Elba, Enterprise",49948,1758.529,678.972,3.945,1.523,1762.474,680.495,31.402183,-85.989201,"Coffee<br>Every 10,000 People 1010.0 Not using Mask<br>Max of 19.0 People can get Infected",1010.0,19.0
16,16,17,AL,01033,Colbert,Tuscumbia,54428,1534.8770000000002,592.619,76.431,29.510,1611.308,622.129,34.703112,-87.801457,"Colbert<br>Every 10,000 People 820.0 Not using Mask<br>Max of 9.0 People can get Infected",820.0,9.0
17,17,18,AL,01035,Conecuh,Evergreen,13228,2201.895,850.1560000000001,6.645,2.566,2208.54,852.722,31.428293,-86.992029,"Conecuh<br>Every 10,000 People 990.0 Not using Mask<br>Max of 0.0 People can get Infected",990.0,0.0
18,18,19,AL,01037,Coosa,Rockford,11539,1685.891,650.9259999999999,39.947,15.423,1725.838,666.3489999999999,32.931445000000004,-86.243482,"Coosa<br>Every 10,000 People 550.0 Not using Mask<br>Max of 5.0 People can get Infected",550.0,5.0
19,19,20,AL,01039,Covington,Andalusia,37765,2668.87,1030.4560000000001,34.526,13.331,2703.3959999999997,1043.787,31.243987,-86.44872099999999,"Covington<br>Every 10,000 People 1870.0 Not using Mask<br>Max of 63.0 People can get Infected",1870.0,63.0
20,20,21,AL,01041,Crenshaw,Luverne,13906,1576.888,608.84,5.376,2.076,1582.264,610.9159999999999,31.732826,-86.319222,"Crenshaw<br>Every 10,000 People 600.0 Not using Mask<br>Max of 9.0 People can get Infected",600.0,9.0
21,21,22,AL,01043,Cullman,Cullman,80406,1903.2279999999998,734.841,52.267,20.180,1955.495,755.0210000000001,34.131923,-86.86926700000001,"Cullman<br>Every 10,000 People 1300.0 Not using Mask<br>Max of 7.0 People can get Infected",1300.0,7.0
22,22,23,AL,01045,Dale,Ozark,50251,1453.371,561.15,4.016,1.551,1457.388,562.701,31.430653999999997,-85.609476,"Dale<br>Every 10,000 People 890.0 Not using Mask<br>Max of 16.0 People can get Infected",890.0,16.0
23,23,24,AL,01047,Dallas,Selma,43820,2534.8070000000002,978.695,39.135,15.110,2573.942,993.805,32.33354,-87.114356,"Dallas<br>Every 10,000 People 950.0 Not using Mask<br>Max of 8.0 People can get Infected",950.0,8.0
24,24,25,AL,01049,DeKalb,Fort Payne,71109,2012.662,777.0930000000001,4.124,1.592,2016.786,778.685,34.460929,-85.80399200000001,"DeKalb<br>Every 10,000 People 840.0 Not using Mask<br>Max of 28.0 People can get Infected",840.0,28.0
25,25,26,AL,01051,Elmore,Wetumpka,79303,1601.868,618.485,99.863,38.557,1701.73,657.0419999999999,32.597229,-86.142739,"Elmore<br>Every 10,000 People 420.0 Not using Mask<br>Max of 47.0 People can get Infected",420.0,47.0
26,26,27,AL,01053,Escambia,Brewton,38319,2447.7470000000003,945.08,20.873,8.059,2468.62,953.1389999999999,31.121747999999997,-87.168429,"Escambia<br>Every 10,000 People 1140.0 Not using Mask<br>Max of 19.0 People can get Infected",1140.0,19.0
27,27,28,AL,01055,Etowah,Gadsden,104430,1385.619,534.991,35.323,13.638,1420.942,548.629,34.047638,-86.03442,"Etowah<br>Every 10,000 People 960.0 Not using Mask<br>Max of 31.0 People can get Infected",960.0,31.0
28,28,29,AL,01057,Fayette,Fayette,17241,1625.632,627.66,4.393,1.696,1630.024,629.356,33.732248999999996,-87.752049,"Fayette<br>Every 10,000 People 1380.0 Not using Mask<br>Max of 16.0 People can get Infected",1380.0,16.0
29,29,30,AL,01059,Franklin,Russellville,31704,1641.588,633.821,32.898,12.702,1674.486,646.523,34.441988,-87.842815,"Franklin<br>Every 10,000 People 650.0 Not using Mask<br>Max of 17.0 People can get Infected",650.0,17.0
30,30,31,AL,01061,Geneva,Geneva,26790,1487.71,574.408,11.765,4.543,1499.476,578.951,31.090866,-85.82434599999999,"Geneva<br>Every 10,000 People 1760.0 Not using Mask<br>Max of 9.0 People can get Infected",1760.0,9.0
31,31,32,AL,01063,Greene,Eutaw,9045,1676.007,647.11,33.231,12.831,1709.2379999999998,659.941,32.844497,-87.964201,"Greene<br>Every 10,000 People 300.0 Not using Mask<br>Max of 2.0 People can get Infected",300.0,2.0
32,32,33,AL,01065,Hale,Greensboro,15760,1667.8039999999999,643.943,32.526,12.558,1700.33,656.5010000000001,32.752796000000004,-87.62306099999999,"Hale<br>Every 10,000 People 260.0 Not using Mask<br>Max of 2.0 People can get Infected",260.0,2.0
33,33,34,AL,01067,Henry,Abbeville,17302,1454.9260000000002,561.75,16.987,6.559,1471.9129999999998,568.309,31.516978,-85.239971,"Henry<br>Every 10,000 People 660.0 Not using Mask<br>Max of 19.0 People can get Infected",660.0,19.0
34,34,35,AL,01069,Houston,Dothan,101547,1501.7379999999998,579.8240000000001,4.740,1.830,1506.4779999999998,581.654,31.158193,-85.296398,"Houston<br>Every 10,000 People 850.0 Not using Mask<br>Max of 87.0 People can get Infected",850.0,87.0
35,35,36,AL,01071,Jackson,Scottsboro,53227,2791.665,1077.868,126.657,48.903,2918.322,1126.771,34.763521999999995,-85.9774,"Jackson<br>Every 10,000 People 920.0 Not using Mask<br>Max of 27.0 People can get Infected",920.0,27.0
36,36,37,AL,01073,Jefferson,Birmingham,658466,2878.192,1111.276,32.474,12.538,2910.667,1123.8139999999999,33.553444,-86.896536,"Jefferson<br>Every 10,000 People 490.0 Not using Mask<br>Max of 203.0 People can get Infected",490.0,203.0
37,37,38,AL,01075,Lamar,Vernon,14564,1566.545,604.846,1.601,0.618,1568.145,605.464,33.787085,-88.08743100000001,"Lamar<br>Every 10,000 People 1070.0 Not using Mask<br>Max of 5.0 People can get Infected",1070.0,5.0
38,38,39,AL,01077,Lauderdale,Florence,92709,1729.328,667.697,138.027,53.293,1867.355,720.99,34.904121999999994,-87.650997,"Lauderdale<br>Every 10,000 People 930.0 Not using Mask<br>Max of 16.0 People can get Infected",930.0,16.0
39,39,40,AL,01079,Lawrence,Moulton,34339,1788.8470000000002,690.678,68.688,26.521,1857.535,717.199,34.529776,-87.321865,"Lawrence<br>Every 10,000 People 1620.0 Not using Mask<br>Max of 5.0 People can get Infected",1620.0,5.0
40,40,41,AL,01081,Lee,Opelika,140247,1573.511,607.536,21.530,8.313,1595.0410000000002,615.849,32.604064,-85.353048,"Lee<br>Every 10,000 People 530.0 Not using Mask<br>Max of 283.0 People can get Infected",530.0,283.0
41,41,42,AL,01083,Limestone,Athens,82782,1450.2279999999998,559.936,122.382,47.252,1572.61,607.188,34.810239,-86.9814,"Limestone<br>Every 10,000 People 1020.0 Not using Mask<br>Max of 8.0 People can get Infected",1020.0,8.0
42,42,43,AL,01085,Lowndes,Hayneville,11299,1854.2,715.9110000000001,23.724,9.160,1877.9229999999998,725.071,32.147888,-86.650586,"Lowndes<br>Every 10,000 People 1200.0 Not using Mask<br>Max of 3.0 People can get Infected",1200.0,3.0
43,43,44,AL,01087,Macon,Tuskegee,21452,1577.005,608.885,11.194,4.322,1588.1989999999998,613.207,32.387027,-85.692887,"Macon<br>Every 10,000 People 80.0 Not using Mask<br>Max of 12.0 People can get Infected",80.0,12.0
44,44,45,AL,01089,Madison,Huntsville,334811,2076.117,801.5930000000001,28.771,11.109,2104.888,812.702,34.764238,-86.55108,"Madison<br>Every 10,000 People 620.0 Not using Mask<br>Max of 100.0 People can get Infected",620.0,100.0
45,45,46,AL,01091,Marengo,Linden,21027,2530.112,976.882,14.995,5.789,2545.107,982.671,32.247591,-87.79109100000001,"Marengo<br>Every 10,000 People 330.0 Not using Mask<br>Max of 6.0 People can get Infected",330.0,6.0
46,46,47,AL,01093,Marion,Hamilton,30776,1922.527,742.2919999999999,3.313,1.279,1925.84,743.571,34.138219,-87.881551,"Marion<br>Every 10,000 People 1290.0 Not using Mask<br>Max of 9.0 People can get Infected",1290.0,9.0
47,47,48,AL,01095,Marshall,Guntersville,93019,1465.523,565.842,148.503,57.337,1614.026,623.179,34.309564,-86.321668,"Marshall<br>Every 10,000 People 750.0 Not using Mask<br>Max of 9.0 People can get Infected",750.0,9.0
48,48,49,AL,01097,Mobile,Mobile,412992,3184.223,1229.435,"1,073.751",414.577,4257.974,1644.0120000000002,30.684572999999997,-88.196568,"Mobile<br>Every 10,000 People 770.0 Not using Mask<br>Max of 80.0 People can get Infected",770.0,80.0
49,49,50,AL,01099,Monroe,Monroeville,23068,2656.485,1025.675,22.643,8.743,2679.1279999999997,1034.4180000000001,31.580332000000002,-87.383266,"Monroe<br>Every 10,000 People 1120.0 Not using Mask<br>Max of 3.0 People can get Infected",1120.0,3.0
50,50,51,AL,01101,Montgomery,Montgomery,229363,2031.191,784.247,40.571,15.665,2071.762,799.9119999999999,32.203651,-86.20383100000001,"Montgomery<br>Every 10,000 People 560.0 Not using Mask<br>Max of 48.0 People can get Infected",560.0,48.0
51,51,52,AL,01103,Morgan,Decatur,119490,1500.476,579.337,51.065,19.716,1551.5410000000002,599.053,34.454484,-86.846402,"Morgan<br>Every 10,000 People 780.0 Not using Mask<br>Max of 19.0 People can get Infected",780.0,19.0
52,52,53,AL,01105,Perry,Marion,10591,1863.92,719.664,10.919,4.216,1874.839,723.88,32.639005,-87.29382700000001,"Perry<br>Every 10,000 People 250.0 Not using Mask<br>Max of 0.0 People can get Infected",250.0,0.0
53,53,54,AL,01107,Pickens,Carrollton,19746,2282.837,881.408,22.578,8.717,2305.415,890.125,33.296809,-88.096878,"Pickens<br>Every 10,000 People 310.0 Not using Mask<br>Max of 9.0 People can get Infected",310.0,9.0
54,54,55,AL,01109,Pike,Troy,32899,1740.7160000000001,672.0939999999999,2.363,0.912,1743.078,673.0060000000001,31.798726000000002,-85.941997,"Pike<br>Every 10,000 People 600.0 Not using Mask<br>Max of 37.0 People can get Infected",600.0,37.0
55,55,56,AL,01111,Randolph,Wedowee,22913,1503.6170000000002,580.55,9.285,3.585,1512.902,584.135,33.296475,-85.46406800000001,"Randolph<br>Every 10,000 People 1580.0 Not using Mask<br>Max of 12.0 People can get Infected",1580.0,12.0
56,56,57,AL,01113,Russell,Phenix City,52947,1660.546,641.14,15.673,6.052,1676.219,647.192,32.289811,-85.18698,"Russell<br>Every 10,000 People 690.0 Not using Mask<br>Max of 5.0 People can get Infected",690.0,5.0
57,57,58,AL,01115,St. Clair,"Ashville, Pell City",83593,1636.619,631.9019999999999,56.300,21.738,1692.9189999999999,653.64,33.712963,-86.315663,"St. Clair<br>Every 10,000 People 270.0 Not using Mask<br>Max of 44.0 People can get Infected",270.0,44.0
58,58,59,AL,01117,Shelby,Columbiana,195085,2032.96,784.93,63.701,24.595,2096.661,809.525,33.262937,-86.678104,"Shelby<br>Every 10,000 People 220.0 Not using Mask<br>Max of 122.0 People can get Infected",220.0,122.0
59,59,60,AL,01119,Sumter,Livingston,13763,2341.0570000000002,903.887,24.436,9.435,2365.494,913.322,32.597481,-88.200057,"Sumter<br>Every 10,000 People 550.0 Not using Mask<br>Max of 0.0 People can get Infected",550.0,0.0
60,60,61,AL,01121,Talladega,Talladega,82291,1908.24,736.775,60.944,23.531,1969.184,760.306,33.369277000000004,-86.17580500000001,"Talladega<br>Every 10,000 People 1130.0 Not using Mask<br>Max of 37.0 People can get Infected",1130.0,37.0
61,61,62,AL,01123,Tallapoosa,Dadeville,41616,1855.78,716.5210000000001,128.809,49.733,1984.589,766.2539999999999,32.863369,-85.799553,"Tallapoosa<br>Every 10,000 People 670.0 Not using Mask<br>Max of 12.0 People can get Infected",670.0,12.0
62,62,63,AL,01125,Tuscaloosa,Tuscaloosa,194656,3423.329,1321.755,76.396,29.497,3499.725,1351.2520000000002,33.290202,-87.52286,"Tuscaloosa<br>Every 10,000 People 410.0 Not using Mask<br>Max of 180.0 People can get Infected",410.0,180.0
63,63,64,AL,01127,Walker,Jasper,67023,2049.177,791.192,36.264,14.002,2085.4410000000003,805.194,33.791571000000005,-87.30109200000001,"Walker<br>Every 10,000 People 900.0 Not using Mask<br>Max of 36.0 People can get Infected",900.0,36.0
64,64,65,AL,01129,Washington,Chatom,17581,2797.722,1080.2069999999999,21.651,8.359,2819.373,1088.566,31.406973999999998,-88.202078,"Washington<br>Every 10,000 People 180.0 Not using Mask<br>Max of 2.0 People can get Infected",180.0,2.0
65,65,66,AL,01131,Wilcox,Camden,11670,2301.2,888.498,48.985,18.913,2350.185,907.4110000000001,31.99033,-87.302205,"Wilcox<br>Every 10,000 People 610.0 Not using Mask<br>Max of 3.0 People can get Infected",610.0,3.0
66,66,67,AL,01133,Winston,Double Springs,24484,1587.608,612.979,48.923,18.889,1636.531,631.868,34.155888,-87.364147,"Winston<br>Every 10,000 People 1300.0 Not using Mask<br>Max of 7.0 People can get Infected",1300.0,7.0
67,67,68,AK,02013,Aleutians East,Sand Point,3141,18083.148999999998,6981.943,"20,792.209","8,027.917",38875.358,15009.86,55.243722,-161.950749,"Aleutians East<br>Every 10,000 People 670.0 Not using Mask<br>Max of 14.0 People can get Infected",670.0,14.0
68,68,69,AK,02016,Aleutians West ,—,5561,11370.763,4390.276,"25,190.644","9,726.162",36561.406,14116.438,51.959447,178.338813,"Aleutians West <br>Every 10,000 People 780.0 Not using Mask<br>Max of 0.0 People can get Infected",780.0,0.0
69,69,70,AK,02020,Anchorage,Anchorage,291826,4415.109,1704.683,663.861,256.318,5078.97,1961.001,61.177549,-149.27435400000002,"Anchorage<br>Every 10,000 People 420.0 Not using Mask<br>Max of 197.0 People can get Infected",420.0,197.0
70,70,71,AK,02050,Bethel ,—,17013,105075.823,40570.003,"12,779.524","4,934.202",117855.34599999999,45504.205,60.928916,-160.15335,"Bethel <br>Every 10,000 People 1010.0 Not using Mask<br>Max of 0.0 People can get Infected",1010.0,0.0
71,71,72,AK,02060,Bristol Bay,Naknek,997,1304.947,503.843,993.830,383.720,2298.777,887.563,58.731373,-156.986612,"Bristol Bay<br>Every 10,000 People 480.0 Not using Mask<br>Max of 0.0 People can get Infected",480.0,0.0
72,72,73,AK,02068,Denali,Healy,1826,33026.001000000004,12751.411,66.069,25.509,33092.068999999996,12776.92,63.682731999999994,-150.02671899999999,"Denali<br>Every 10,000 People 620.0 Not using Mask<br>Max of 0.0 People can get Infected",620.0,0.0
73,73,74,AK,02070,Dillingham ,—,4847,48092.913,18568.778000000002,"6,077.224","2,346.429",54170.136,20915.207,59.824816000000006,-158.602233,"Dillingham <br>Every 10,000 People 720.0 Not using Mask<br>Max of 0.0 People can get Infected",720.0,0.0
74,74,75,AK,02090,Fairbanks North Star,Fairbanks,97581,19005.874,7338.209,273.188,105.479,19279.063000000002,7443.688,64.690832,-146.599867,"Fairbanks North Star<br>Every 10,000 People 940.0 Not using Mask<br>Max of 49.0 People can get Infected",940.0,49.0
75,75,76,AK,02100,Haines,Haines,2508,6005.147,2318.6,"1,053.875",406.903,7059.022,2725.5029999999997,59.09990500000001,-135.578102,"Haines<br>Every 10,000 People 550.0 Not using Mask<br>Max of 0.0 People can get Infected",550.0,0.0
76,76,77,AK,02105,Hoonah-Angoon ,—,2150,19489.439,7524.915,"8,778.085","3,389.238",28267.523999999998,10914.153,58.076434,-135.1851,"Hoonah-Angoon <br>Every 10,000 People 510.0 Not using Mask<br>Max of nan People can get Infected",510.0,
77,77,78,AK,02110,Juneau,Juneau,31275,6997.969,2701.9309999999996,"1,429.575",551.962,8427.544,3253.893,58.3727,-134.17878100000001,"Juneau<br>Every 10,000 People 510.0 Not using Mask<br>Max of 5.0 People can get Infected",510.0,5.0
78,78,79,AK,02122,Kenai Peninsula,Soldotna,55400,41634.915,16075.331,"22,473.290","8,676.986",64108.206,24752.317000000003,60.366372999999996,-152.32197299999999,"Kenai Peninsula<br>Every 10,000 People 430.0 Not using Mask<br>Max of 5.0 People can get Infected",430.0,5.0
79,79,80,AK,02130,Ketchikan Gateway,Ketchikan,13477,12583.233,4858.414000000001,"4,649.414","1,795.149",17232.647,6653.563,55.449938,-131.106685,"Ketchikan Gateway<br>Every 10,000 People 250.0 Not using Mask<br>Max of 2.0 People can get Infected",250.0,2.0
80,80,81,AK,02150,Kodiak Island,Kodiak,13592,16963.332,6549.579000000001,"14,173.062","5,472.250",31136.394,12021.829,57.553611,-153.630911,"Kodiak Island<br>Every 10,000 People 420.0 Not using Mask<br>Max of 0.0 People can get Infected",420.0,0.0
81,81,82,AK,02164,Lake and Peninsula,King Salmon ,1631,61258.419,23652.009,"24,010.457","9,270.490",85268.877,32922.498999999996,58.205065000000005,-156.705188,"Lake and Peninsula<br>Every 10,000 People 550.0 Not using Mask<br>Max of 0.0 People can get Infected",550.0,0.0
82,82,83,AK,02170,Matanuska-Susitna,Palmer,88995,63734.16,24607.897999999997,"1,682.737",649.709,65416.898,25257.607000000004,62.182173999999996,-149.407974,"Matanuska-Susitna<br>Every 10,000 People 420.0 Not using Mask<br>Max of 19.0 People can get Infected",420.0,19.0
83,83,84,AK,02180,Nome ,—,9492,59470.685999999994,22961.761000000002,"13,768.012","5,315.859",73238.698,28277.62,64.783686,-164.18891200000002,"Nome <br>Every 10,000 People 860.0 Not using Mask<br>Max of 0.0 People can get Infected",860.0,0.0
84,84,85,AK,02185,North Slope,Barrow,9430,229720.05399999997,88695.413,"15,801.179","6,100.870",245521.234,94796.28300000001,69.449343,-153.47283000000002,"North Slope<br>Every 10,000 People 360.0 Not using Mask<br>Max of 2.0 People can get Infected",360.0,2.0
85,85,86,AK,02188,Northwest Arctic,Kotzebue,7523,92132.565,35572.584,"13,406.688","5,176.351",105539.25300000001,40748.935,67.005066,-160.021086,"Northwest Arctic<br>Every 10,000 People 350.0 Not using Mask<br>Max of 0.0 People can get Infected",350.0,0.0
86,86,87,AK,02195,Petersburg ,—,3815,8500.294,3281.982,"6,221.368","2,402.084",14721.662,5684.066,56.639612,-133.527996,"Petersburg <br>Every 10,000 People 420.0 Not using Mask<br>Max of 0.0 People can get Infected",420.0,0.0
87,87,88,AK,02198,Prince of Wales-Hyder ,—,5559,10160.194,3922.873,"9,739.418","3,760.411",19899.612,7683.284000000001,55.415682999999994,-132.875734,"Prince of Wales-Hyder <br>Every 10,000 People 330.0 Not using Mask<br>Max of 2.0 People can get Infected",330.0,2.0
88,88,89,AK,02220,Sitka,Sitka,8881,7434.144,2870.3390000000004,"5,027.404","1,941.092",12461.548,4811.431,57.142509,-135.332624,"Sitka<br>Every 10,000 People 480.0 Not using Mask<br>Max of 0.0 People can get Infected",480.0,0.0
89,89,90,AK,02230,Skagway,Skagway,968,1171.516,452.325,30.331,11.711,1201.847,464.036,59.575097,-135.335418,"Skagway<br>Every 10,000 People 580.0 Not using Mask<br>Max of nan People can get Infected",580.0,
90,90,91,AK,02240,Southeast Fairbanks ,—,7029,64150.915,24768.807999999997,752.795,290.656,64903.710999999996,25059.464,63.864996999999995,-143.218628,"Southeast Fairbanks <br>Every 10,000 People 640.0 Not using Mask<br>Max of 0.0 People can get Infected",640.0,0.0
91,91,92,AK,02261,Valdez-Cordova ,—,9636,88680.877,34239.88,"15,799.690","6,100.295",104480.567,40340.175,61.34984,-145.02314099999998,"Valdez-Cordova <br>Every 10,000 People 400.0 Not using Mask<br>Max of 2.0 People can get Infected",400.0,2.0
92,92,93,AK,02270,Wade Hampton ,—,7459,44240.706,17081.433,"6,711.999","2,591.518",50952.705,19672.951,62.283174,-163.19095,"Wade Hampton <br>Every 10,000 People nan Not using Mask<br>Max of nan People can get Infected",,
93,93,94,AK,02275,Wrangell,Wrangell,2369,6582.411,2541.4829999999997,"2,384.276",920.574,8966.687,3462.0570000000002,56.279120999999996,-132.040326,"Wrangell<br>Every 10,000 People 350.0 Not using Mask<br>Max of 0.0 People can get Infected",350.0,0.0
94,94,95,AK,02282,Yakutat,Yakutat,662,19812.002,7649.456999999999,"4,696.710","1,813.410",24508.712000000003,9462.867,59.999083,-140.23959299999999,"Yakutat<br>Every 10,000 People 470.0 Not using Mask<br>Max of nan People can get Infected",470.0,
95,95,96,AK,02290,Yukon-Koyukuk ,—,5588,376855.656,145504.789,"5,956.564","2,299.842",382812.22,147804.631,65.376131,-151.576855,"Yukon-Koyukuk <br>Every 10,000 People 440.0 Not using Mask<br>Max of 0.0 People can get Infected",440.0,0.0
96,96,97,AZ,04001,Apache,St. Johns,71518,29001.444,11197.521,54.176,20.917,29055.62,11218.438,35.385845,-109.493747,"Apache<br>Every 10,000 People 550.0 Not using Mask<br>Max of 8.0 People can get Infected",550.0,8.0
97,97,98,AZ,04003,Cochise,Bisbee,131346,15969.063999999998,6165.69,137.025,52.906,16106.089,6218.596,31.881793,-109.75412,"Cochise<br>Every 10,000 People 530.0 Not using Mask<br>Max of 8.0 People can get Infected",530.0,8.0
98,98,99,AZ,04005,Coconino,Flagstaff,134421,48222.689000000006,18618.885,109.964,42.457,48332.653,18661.342,35.829692,-111.773728,"Coconino<br>Every 10,000 People 390.0 Not using Mask<br>Max of 28.0 People can get Infected",390.0,28.0
99,99,100,AZ,04007,Gila,Globe,53597,12322.989,4757.933,97.112,37.495,12420.101,4795.428,33.789618,-110.81187,"Gila<br>Every 10,000 People 730.0 Not using Mask<br>Max of 5.0 People can get Infected",730.0,5.0
100,100,101,AZ,04009,Graham,Safford,37220,11972.471000000001,4622.597,47.834,18.469,12020.305,4641.066,32.931828,-109.87831000000001,"Graham<br>Every 10,000 People 950.0 Not using Mask<br>Max of 14.0 People can get Infected",950.0,14.0
101,101,102,AZ,04011,Greenlee,Clifton,8437,4773.674,1843.126,13.745,5.307,4787.419,1848.433,33.238872,-109.242323,"Greenlee<br>Every 10,000 People 1110.0 Not using Mask<br>Max of 0.0 People can get Infected",1110.0,0.0
102,102,103,AZ,04012,La Paz,Parker,20489,11653.983999999999,4499.629,36.582,14.124,11690.566,4513.753,33.727625,-114.038793,"La Paz<br>Every 10,000 People 310.0 Not using Mask<br>Max of 3.0 People can get Infected",310.0,3.0
103,103,104,AZ,04013,Maricopa,Phoenix,3817117,23828.26,9200.143,62.796,24.246,23891.056,9224.389000000001,33.346540999999995,-112.495534,"Maricopa<br>Every 10,000 People 230.0 Not using Mask<br>Max of 602.0 People can get Infected",230.0,602.0
104,104,105,AZ,04015,Mohave,Kingman,200186,34475.547,13311.083999999999,387.371,149.565,34862.918,13460.649,35.717705,-113.74968899999999,"Mohave<br>Every 10,000 People 510.0 Not using Mask<br>Max of 39.0 People can get Infected",510.0,39.0
105,105,106,AZ,04017,Navajo,Holbrook,107449,25771.472999999998,9950.421999999999,24.078,9.297,25795.551,9959.719000000001,35.390934,-110.320908,"Navajo<br>Every 10,000 People 910.0 Not using Mask<br>Max of 16.0 People can get Infected",910.0,16.0
106,106,107,AZ,04019,Pima,Tucson,980263,23794.312,9187.036,5.338,2.061,23799.648999999998,9189.097,32.128237,-111.783018,"Pima<br>Every 10,000 People 230.0 Not using Mask<br>Max of 204.0 People can get Infected",230.0,204.0
107,107,108,AZ,04021,Pinal,Florence,375770,13896.87,5365.611999999999,22.332,8.622,13919.201000000001,5374.234,32.91891,-111.36725700000001,"Pinal<br>Every 10,000 People 330.0 Not using Mask<br>Max of 148.0 People can get Infected",330.0,148.0
108,108,109,AZ,04023,Santa Cruz,Nogales,47420,3203.599,1236.9160000000002,3.088,1.192,3206.687,1238.108,31.525903999999997,-110.84518999999999,"Santa Cruz<br>Every 10,000 People 280.0 Not using Mask<br>Max of 8.0 People can get Infected",280.0,8.0
109,109,110,AZ,04025,Yavapai,Prescott,211033,21039.765,8123.499,11.502,4.441,21051.267000000003,8127.94,34.630044,-112.573745,"Yavapai<br>Every 10,000 People 310.0 Not using Mask<br>Max of 5.0 People can get Infected",310.0,5.0
